defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
ARI,Light (≤5),pass,187,-0.01397126,0.47058824,5.909091,0.01604278,0.32085562,0.11229946524064172,2.0,9.0,4.362069
ARI,Light (≤5),run,61,0.08515579,0.5081967,6.0,0.016393442,0.24590164,0.0,0.0,0.0,
ARI,Standard (6),pass,236,0.21178605,0.5381356,6.75,0.0720339,0.3898305,0.13983050847457626,5.0,14.0,4.5974026
ARI,Standard (6),run,208,0.054483928,0.45673078,5.0384617,0.033653848,0.32692307,0.0,0.0,0.0,
ARI,Heavy (7),pass,143,0.29455653,0.55944055,7.5664334,0.07692308,0.37762237,0.09090909090909091,3.0,4.0,6.580645
ARI,Heavy (7),run,163,-0.07254623,0.42944786,4.5828223,0.042944785,0.2760736,0.0,0.0,0.0,
ARI,Stacked (8+),pass,31,1.4151296e-05,0.3548387,4.612903,0.09677419,0.32258064,0.16129032258064516,0.0,3.0,5.4166665
ARI,Stacked (8+),run,24,-0.044331234,0.375,1.7083334,0.20833333,0.375,0.0,0.0,0.0,
ATL,Light (≤5),pass,86,0.19842787,0.4883721,5.3488374,0.046511628,0.3139535,0.11627906976744186,1.0,6.0,3.8
ATL,Light (≤5),run,9,,,,,,0.0,0.0,0.0,
ATL,Standard (6),pass,357,-0.039237216,0.4397759,6.1960783,0.04761905,0.2997199,0.13165266106442577,14.0,28.0,5.285714
ATL,Standard (6),run,249,0.09117881,0.502008,5.485944,0.016064256,0.2931727,0.0,0.0,0.0,
ATL,Heavy (7),pass,131,-0.14726375,0.40458015,4.8702292,0.03816794,0.29007635,0.2366412213740458,0.0,20.0,4.7777777
ATL,Heavy (7),run,163,-0.023441827,0.40490797,4.0981593,0.024539877,0.24539877,0.0,0.0,0.0,
ATL,Stacked (8+),pass,16,-0.03953873,0.5625,6.4375,0.125,0.4375,0.25,1.0,3.0,4.25
ATL,Stacked (8+),run,36,-0.2124651,0.30555555,1.6944444,0.11111111,0.19444445,0.0,0.0,0.0,
BAL,Light (≤5),pass,142,0.16290237,0.43661973,6.9295774,0.028169014,0.31690142,0.1619718309859155,2.0,8.0,5.070588
BAL,Light (≤5),run,15,0.17493822,0.6666667,8.466666,0.0,0.46666667,0.0,0.0,0.0,
BAL,Standard (6),pass,364,-0.024625836,0.42857143,5.739011,0.03846154,0.2802198,0.15934065934065933,7.0,18.0,4.791469
BAL,Standard (6),run,221,-0.1479449,0.36651585,4.470588,0.018099548,0.20361991,0.0,0.0,0.0,
BAL,Heavy (7),pass,135,0.22289267,0.52592593,7.6592593,0.022222223,0.32592592,0.1037037037037037,1.0,2.0,4.7234044
BAL,Heavy (7),run,136,0.037828874,0.4852941,4.1397057,0.05882353,0.30147058,0.0,0.0,0.0,
BAL,Stacked (8+),pass,15,0.39899883,0.6,7.133333,0.26666668,0.6,0.13333333333333333,1.0,1.0,5.0
BAL,Stacked (8+),run,46,0.07489108,0.4347826,3.3695652,0.13043478,0.36956522,0.0,0.0,0.0,
BAL,,pass,1,,,,,,1.0,0.0,1.0,
BAL,,run,1,,,,,,0.0,0.0,0.0,
BUF,Light (≤5),pass,126,-0.09776536,0.36507937,5.0,0.023809524,0.2857143,0.20634920634920634,3.0,7.0,5.015625
BUF,Light (≤5),run,18,0.58859044,0.6666667,8.333333,0.055555556,0.6111111,0.0,0.0,0.0,
BUF,Standard (6),pass,278,-0.18602157,0.4028777,5.3633094,0.039568346,0.2733813,0.17985611510791366,9.0,24.0,4.265823
BUF,Standard (6),run,213,0.14326666,0.49295774,5.5633802,0.04694836,0.31455398,0.0,0.0,0.0,
BUF,Heavy (7),pass,93,0.14730531,0.41935483,5.806452,0.06451613,0.3548387,0.13978494623655913,0.0,5.0,6.056604
BUF,Heavy (7),run,174,-0.03063664,0.39655173,4.683908,0.05172414,0.24712643,0.0,0.0,0.0,
BUF,Stacked (8+),pass,7,,,,,,0.14285714285714285,1.0,0.0,
BUF,Stacked (8+),run,40,0.15302797,0.45,4.25,0.1,0.35,0.0,0.0,0.0,
BUF,,pass,1,,,,,,0.0,0.0,0.0,
CAR,Light (≤5),pass,145,0.23567526,0.46896553,7.4827585,0.027586207,0.3448276,0.08275862068965517,4.0,9.0,5.6630435
CAR,Light (≤5),run,20,0.17193165,0.5,8.2,0.0,0.35,0.0,0.0,0.0,
CAR,Standard (6),pass,296,0.13649099,0.5033784,6.8716216,0.037162162,0.36824325,0.09797297297297297,8.0,14.0,5.0360823
CAR,Standard (6),run,233,-0.005895336,0.39914164,4.7081547,0.025751073,0.2532189,0.0,0.0,0.0,
CAR,Heavy (7),pass,85,-0.25415945,0.3529412,3.8,0.047058824,0.22352941,0.12941176470588237,3.0,6.0,4.6
CAR,Heavy (7),run,190,0.024603957,0.40526316,4.194737,0.05263158,0.2631579,0.0,0.0,0.0,
CAR,Stacked (8+),pass,8,,,,,,0.25,0.0,1.0,
CAR,Stacked (8+),run,20,0.19444133,0.5,2.85,0.2,0.35,0.0,0.0,0.0,
CAR,,pass,1,,,,,,0.0,0.0,0.0,
CHI,Light (≤5),pass,135,0.1251807,0.43703705,6.8962965,0.02962963,0.33333334,0.1259259259259259,2.0,6.0,4.9166665
CHI,Light (≤5),run,17,0.072841056,0.4117647,6.117647,0.0,0.3529412,0.0,0.0,0.0,
CHI,Standard (6),pass,306,0.0092028305,0.48039216,6.9346404,0.078431375,0.34640524,0.13071895424836602,16.0,17.0,4.3384614
CHI,Standard (6),run,242,0.06017169,0.45454547,5.3347106,0.024793388,0.26859504,0.0,0.0,0.0,
CHI,Heavy (7),pass,116,0.057873674,0.51724136,6.62069,0.03448276,0.31896552,0.1896551724137931,4.0,11.0,5.6
CHI,Heavy (7),run,147,-0.07257559,0.43537414,4.707483,0.034013607,0.2585034,0.0,0.0,0.0,
CHI,Stacked (8+),pass,13,-0.6627637,0.3846154,3.6923077,0.15384616,0.30769232,0.15384615384615385,1.0,1.0,3.6666667
CHI,Stacked (8+),run,46,-0.09681092,0.54347825,4.4565215,0.08695652,0.41304347,0.0,0.0,0.0,
CIN,Light (≤5),pass,123,0.123874374,0.45528457,7.292683,0.08130081,0.30081302,0.17073170731707318,2.0,9.0,6.733333
