defteam,score_bucket,qtr,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
ARI,Down Big,3.0,80,0.23795477,0.55,6.625,0.075,0.375,0.0375,1.0,2.0,5.892857
ARI,Down Big,4.0,49,-0.00032981075,0.46938777,5.0,0.040816326,0.30612245,0.02040816326530612,0.0,1.0,3.2857144
ARI,Down (7-13),3.0,27,0.032562733,0.4074074,4.888889,0.037037037,0.25925925,0.07407407407407407,0.0,2.0,7.5
ARI,Down (7-13),4.0,58,-0.043149065,0.41379312,5.327586,0.03448276,0.27586207,0.0,0.0,0.0,4.2
ARI,Slight Deficit,3.0,20,-0.2804066,0.35,4.9,0.0,0.2,0.0,1.0,0.0,8.5
ARI,Slight Deficit,4.0,33,-0.1049455,0.45454547,4.757576,0.060606062,0.3030303,0.06060606060606061,1.0,0.0,6.0
ARI,Tied,3.0,23,-0.05144873,0.47826087,5.304348,0.0,0.2173913,0.08695652173913043,0.0,0.0,3.2
ARI,Tied,4.0,16,0.10618774,0.5,6.875,0.0625,0.3125,0.0625,1.0,0.0,3.6
ARI,Tied,5.0,4,,,,,,0.0,0.0,0.0,
ARI,Slight Lead,3.0,24,0.18422563,0.7083333,8.541667,0.083333336,0.5,0.041666666666666664,1.0,0.0,6.1666665
ARI,Slight Lead,4.0,50,0.22292882,0.54,5.9,0.06,0.4,0.1,0.0,1.0,4.85
ARI,Leading (7-13),3.0,37,0.08631118,0.43243244,5.4324327,0.027027028,0.2972973,0.02702702702702703,0.0,1.0,5.8461537
ARI,Leading (7-13),4.0,62,0.111581594,0.516129,5.064516,0.06451613,0.37096775,0.11290322580645161,2.0,4.0,3.15625
ARI,Up Big,3.0,41,0.04293653,0.41463414,5.268293,0.024390243,0.29268292,0.04878048780487805,0.0,1.0,3.2941177
ARI,Up Big,4.0,28,0.5780536,0.75,8.714286,0.10714286,0.53571427,0.07142857142857142,0.0,0.0,3.8823528
ATL,Down Big,3.0,32,0.00711935,0.40625,4.625,0.03125,0.25,0.03125,0.0,1.0,11.25
ATL,Down Big,4.0,46,0.25829878,0.45652175,5.6086955,0.08695652,0.32608697,0.021739130434782608,0.0,0.0,7.25
ATL,Down (7-13),3.0,39,0.0058776047,0.41025642,5.1282053,0.025641026,0.33333334,0.05128205128205128,1.0,2.0,6.1538463
ATL,Down (7-13),4.0,15,-0.25198564,0.46666667,4.4666667,0.0,0.26666668,0.06666666666666667,1.0,1.0,2.5
ATL,Slight Deficit,3.0,13,-0.15271878,0.46153846,5.3076925,0.0,0.30769232,0.07692307692307693,0.0,1.0,4.5
ATL,Slight Deficit,4.0,40,-0.017723527,0.4,3.525,0.05,0.275,0.025,0.0,1.0,5.2222223
ATL,Tied,3.0,23,-0.00033514397,0.3478261,4.347826,0.04347826,0.26086956,0.0,0.0,0.0,3.75
ATL,Tied,4.0,9,,,,,,0.1111111111111111,0.0,1.0,
ATL,Tied,5.0,12,0.5035675,0.5,9.75,0.083333336,0.33333334,0.0,0.0,0.0,26.5
ATL,Slight Lead,3.0,79,-0.07998935,0.36708862,4.987342,0.012658228,0.25316456,0.08860759493670886,0.0,6.0,7.818182
ATL,Slight Lead,4.0,64,-0.076312594,0.40625,5.859375,0.046875,0.25,0.15625,1.0,6.0,5.529412
ATL,Leading (7-13),3.0,54,0.06697763,0.46296296,6.648148,0.037037037,0.2962963,0.09259259259259259,1.0,2.0,4.882353
ATL,Leading (7-13),4.0,77,0.009631145,0.5064935,5.623377,0.038961038,0.3116883,0.05194805194805195,3.0,2.0,3.32
ATL,Up Big,3.0,23,0.51158565,0.6086956,7.826087,0.08695652,0.39130434,0.17391304347826086,0.0,2.0,6.5454545
ATL,Up Big,4.0,36,-0.0915679,0.5555556,5.1944447,0.027777778,0.33333334,0.16666666666666666,2.0,2.0,2.5
BAL,Down Big,3.0,27,0.19782,0.6296296,6.259259,0.037037037,0.33333334,0.037037037037037035,0.0,1.0,5.25
BAL,Down Big,4.0,52,-0.089208916,0.34615386,4.076923,0.03846154,0.23076923,0.057692307692307696,0.0,1.0,2.375
BAL,Down (7-13),3.0,15,0.57658803,0.6666667,9.066667,0.13333334,0.53333336,0.0,0.0,0.0,8.571428
BAL,Down (7-13),4.0,16,0.23525299,0.4375,6.1875,0.0625,0.25,0.0625,0.0,0.0,3.5
