defteam,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed,epa_rank,success_rank,yards_rank,total_teams,pass_plays,run_plays
ARI,1053,0.08844167,0.48528016,5.8167143,0.051282052,0.33523268,0.06837606837606838,10.0,30.0,5.0426664,27,31,25,32,597,456
ATL,1047,-0.0037385952,0.4460363,5.3180513,0.038204394,0.28748807,0.08787010506208214,16.0,57.0,4.903323,15,17,16,32,590,457
BAL,1076,0.024138346,0.44144982,5.6208177,0.039962824,0.2881041,0.09107806691449814,11.0,30.0,4.839599,20,15,21,32,657,419
BUF,950,-0.016306445,0.42421052,5.254737,0.047368422,0.2968421,0.09473684210526316,13.0,36.0,4.7509027,13,12,14,32,505,445
CAR,998,0.06729275,0.4428858,5.5931864,0.04208417,0.30561122,0.05410821643286573,15.0,30.0,5.1220236,23,16,20,32,535,463
CHI,1022,0.01809277,0.4667319,6.0283756,0.047945205,0.31311154,0.07925636007827788,23.0,35.0,4.712676,19,25,29,32,570,452
CIN,1035,0.12981743,0.47826087,6.2763286,0.050241545,0.32657003,0.07632850241545894,13.0,35.0,7.0287356,29,28,32,32,571,464
CLE,994,-0.09583888,0.4024145,4.870221,0.043259557,0.26760563,0.10462776659959759,11.0,53.0,5.344156,5,4,5,32,540,454
DAL,1027,0.16738784,0.48880234,6.265823,0.05842259,0.33885103,0.10613437195715676,6.0,35.0,5.7165356,32,32,31,32,593,434
DEN,1055,-0.087918445,0.36682466,4.486256,0.028436018,0.24454977,0.14312796208530806,10.0,68.0,4.533528,6,1,1,32,658,397
DET,1040,-0.0099085085,0.4173077,5.4471154,0.04519231,0.28653845,0.09903846153846153,13.0,49.0,4.2953215,14,8,18,32,609,431
GB,1056,0.033222876,0.44791666,5.028409,0.036931816,0.28977272,0.09375,7.0,36.0,4.202778,22,19,9,32,583,473
HOU,982,-0.13143435,0.38289204,4.809572,0.03767821,0.25050917,0.09470468431771895,19.0,47.0,4.965517,1,2,4,32,588,394
IND,1101,0.004268322,0.45504087,5.415077,0.037238874,0.31244323,0.08628519527702089,14.0,39.0,4.911839,16,23,17,32,664,437
JAX,1030,-0.10537281,0.41262135,5.0271845,0.03883495,0.27572817,0.0912621359223301,22.0,32.0,4.29798,3,6,8,32,671,359
KC,977,-0.020259056,0.43602866,5.262027,0.032753326,0.27123848,0.1023541453428864,10.0,35.0,5.4588237,12,14,15,32,544,433
LA,1068,-0.06088292,0.42041197,5.224719,0.032771535,0.2818352,0.1104868913857678,16.0,47.0,4.490716,9,11,13,32,636,432
LAC,955,-0.08297873,0.41361257,5.0921464,0.033507854,0.27015707,0.09319371727748692,19.0,45.0,5.8436484,7,7,10,32,549,406
LV,1054,0.024258008,0.44971538,5.14611,0.042694498,0.29411766,0.07969639468690702,8.0,37.0,4.7409472,21,21,11,32,562,492
MIA,1016,0.088206515,0.48523623,5.836614,0.046259843,0.31003937,0.07578740157480315,9.0,39.0,5.439353,26,30,26,32,555,461
MIN,1017,-0.09945873,0.4100295,4.737463,0.029498525,0.27138644,0.09734513274336283,8.0,49.0,5.3261647,4,5,3,32,496,521
NE,966,-0.04712258,0.44616976,5.204969,0.039337475,0.28778467,0.09213250517598344,10.0,35.0,4.674286,11,18,12,32,562,404
NO,1029,-0.05905983,0.41788143,4.9776483,0.038872693,0.28377065,0.07968901846452867,10.0,45.0,5.173077,10,10,6,32,531,498
NYG,1032,0.08739448,0.46996123,5.9525194,0.045542635,0.31976745,0.0939922480620155,9.0,39.0,4.887955,25,26,28,32,589,443
NYJ,1053,0.1472204,0.45584047,5.7663817,0.053181387,0.325736,0.055080721747388414,0.0,26.0,6.110119,31,24,23,32,542,511
PHI,1066,-0.07898804,0.4174484,5.0234523,0.03283302,0.27861163,0.0975609756097561,12.0,42.0,5.148867,8,9,7,32,582,484
PIT,1104,0.01773049,0.432971,5.51721,0.038949274,0.29710144,0.10054347826086957,15.0,48.0,5.179293,18,13,19,32,661,443
SEA,1062,-0.11722899,0.39642185,4.5894537,0.030131826,0.25141242,0.10451977401129943,18.0,47.0,5.28,2,3,2,32,651,411
SF,1019,0.07043578,0.484789,5.6889105,0.042198233,0.31697744,0.05789990186457311,6.0,20.0,4.6381907,24,29,22,32,603,416
TB,990,0.013278528,0.44848484,5.80101,0.048484847,0.3010101,0.08686868686868687,13.0,37.0,5.6675463,17,20,24,32,604,386
TEN,991,0.1004208,0.45105955,5.9445004,0.05247225,0.30978808,0.09687184661957618,6.0,42.0,5.6468925,28,22,27,32,558,433
WAS,1072,0.14248665,0.47574627,6.109142,0.04757463,0.32742536,0.08395522388059702,8.0,42.0,6.3714285,30,27,30,32,583,489
