defteam,personnel_grouping,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
ARI,other,1053,0.08844167,0.48528016,5.8167143,0.051282052,0.33523268,0.06837606837606838,10.0,30.0,5.0426664
ATL,other,1047,-0.0037385952,0.4460363,5.3180513,0.038204394,0.28748807,0.08787010506208214,16.0,57.0,4.903323
BAL,other,1076,0.024138346,0.44144982,5.6208177,0.039962824,0.2881041,0.09107806691449814,11.0,30.0,4.839599
BUF,other,950,-0.016306445,0.42421052,5.254737,0.047368422,0.2968421,0.09473684210526316,13.0,36.0,4.7509027
CAR,other,998,0.06729275,0.4428858,5.5931864,0.04208417,0.30561122,0.05410821643286573,15.0,30.0,5.1220236
CHI,other,1022,0.01809277,0.4667319,6.0283756,0.047945205,0.31311154,0.07925636007827788,23.0,35.0,4.712676
CIN,other,1035,0.12981743,0.47826087,6.2763286,0.050241545,0.32657003,0.07632850241545894,13.0,35.0,7.0287356
CLE,other,994,-0.09583888,0.4024145,4.870221,0.043259557,0.26760563,0.10462776659959759,11.0,53.0,5.344156
DAL,other,1027,0.16738784,0.48880234,6.265823,0.05842259,0.33885103,0.10613437195715676,6.0,35.0,5.7165356
DEN,other,1055,-0.087918445,0.36682466,4.486256,0.028436018,0.24454977,0.14312796208530806,10.0,68.0,4.533528
DET,other,1040,-0.0099085085,0.4173077,5.4471154,0.04519231,0.28653845,0.09903846153846153,13.0,49.0,4.2953215
GB,other,1056,0.033222876,0.44791666,5.028409,0.036931816,0.28977272,0.09375,7.0,36.0,4.202778
HOU,other,982,-0.13143435,0.38289204,4.809572,0.03767821,0.25050917,0.09470468431771895,19.0,47.0,4.965517
IND,other,1101,0.004268322,0.45504087,5.415077,0.037238874,0.31244323,0.08628519527702089,14.0,39.0,4.911839
JAX,other,1030,-0.10537281,0.41262135,5.0271845,0.03883495,0.27572817,0.0912621359223301,22.0,32.0,4.29798
KC,other,977,-0.020259056,0.43602866,5.262027,0.032753326,0.27123848,0.1023541453428864,10.0,35.0,5.4588237
LA,other,1068,-0.06088292,0.42041197,5.224719,0.032771535,0.2818352,0.1104868913857678,16.0,47.0,4.490716
LAC,other,955,-0.08297873,0.41361257,5.0921464,0.033507854,0.27015707,0.09319371727748692,19.0,45.0,5.8436484
LV,other,1054,0.024258008,0.44971538,5.14611,0.042694498,0.29411766,0.07969639468690702,8.0,37.0,4.7409472
MIA,other,1016,0.088206515,0.48523623,5.836614,0.046259843,0.31003937,0.07578740157480315,9.0,39.0,5.439353
MIN,other,1017,-0.09945873,0.4100295,4.737463,0.029498525,0.27138644,0.09734513274336283,8.0,49.0,5.3261647
NE,other,966,-0.04712258,0.44616976,5.204969,0.039337475,0.28778467,0.09213250517598344,10.0,35.0,4.674286
NO,other,1029,-0.05905983,0.41788143,4.9776483,0.038872693,0.28377065,0.07968901846452867,10.0,45.0,5.173077
NYG,other,1032,0.08739448,0.46996123,5.9525194,0.045542635,0.31976745,0.0939922480620155,9.0,39.0,4.887955
NYJ,other,1053,0.1472204,0.45584047,5.7663817,0.053181387,0.325736,0.055080721747388414,0.0,26.0,6.110119
PHI,other,1066,-0.07898804,0.4174484,5.0234523,0.03283302,0.27861163,0.0975609756097561,12.0,42.0,5.148867
PIT,other,1104,0.01773049,0.432971,5.51721,0.038949274,0.29710144,0.10054347826086957,15.0,48.0,5.179293
SEA,other,1062,-0.11722899,0.39642185,4.5894537,0.030131826,0.25141242,0.10451977401129943,18.0,47.0,5.28
SF,other,1019,0.07043578,0.484789,5.6889105,0.042198233,0.31697744,0.05789990186457311,6.0,20.0,4.6381907
TB,other,990,0.013278528,0.44848484,5.80101,0.048484847,0.3010101,0.08686868686868687,13.0,37.0,5.6675463
TEN,other,991,0.1004208,0.45105955,5.9445004,0.05247225,0.30978808,0.09687184661957618,6.0,42.0,5.6468925
WAS,other,1072,0.14248665,0.47574627,6.109142,0.04757463,0.32742536,0.08395522388059702,8.0,42.0,6.3714285
