defteam,coverage_look,down,pressure_flag,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
ARI,Light (≤3),2.0,0,2,,,,,,0.0,0.0,0.0,
ARI,Light (≤3),3.0,0,4,,,,,,0.0,1.0,0.0,
ARI,Light (≤3),4.0,0,1,,,,,,0.0,0.0,0.0,
ARI,Base (4),1.0,0,11,0.22378677,0.45454547,4.181818,0.18181819,0.27272728,0.0,0.0,0.0,4.0
ARI,Base (4),1.0,1,1,,,,,,1.0,0.0,0.0,
ARI,Base (4),2.0,0,18,-0.28036967,0.22222222,2.8333333,0.055555556,0.055555556,0.0,0.0,0.0,3.25
ARI,Base (4),2.0,1,4,,,,,,1.0,0.0,1.0,
ARI,Base (4),3.0,0,19,0.74419785,0.6315789,4.3157897,0.2631579,0.57894737,0.0,0.0,0.0,2.75
ARI,Base (4),3.0,1,6,,,,,,1.0,0.0,1.0,
ARI,Base (4),4.0,0,2,,,,,,0.0,0.0,0.0,
ARI,Base (4),4.0,1,1,,,,,,1.0,0.0,1.0,
ARI,Base (4),,0,1,,,,,,0.0,0.0,0.0,
ARI,Blitz (5),1.0,0,16,0.13593523,0.5625,5.9375,0.375,0.375,0.0,1.0,0.0,7.2
ARI,Blitz (5),2.0,0,10,-0.2284066,0.4,2.6,0.0,0.3,0.0,0.0,0.0,3.8
ARI,Blitz (5),2.0,1,1,,,,,,1.0,0.0,0.0,
ARI,Blitz (5),3.0,0,1,,,,,,0.0,0.0,0.0,
ARI,Heavy Blitz (6+),1.0,0,2,,,,,,0.0,0.0,0.0,
ARI,Heavy Blitz (6+),1.0,1,2,,,,,,1.0,0.0,1.0,
ARI,Heavy Blitz (6+),2.0,0,5,,,,,,0.0,0.0,0.0,
ARI,Heavy Blitz (6+),3.0,0,2,,,,,,0.0,0.0,0.0,
ARI,Heavy Blitz (6+),4.0,0,3,,,,,,0.0,0.0,0.0,
ARI,,1.0,0,53,-0.09666161,0.3207547,2.037736,0.1509434,0.18867925,0.0,0.0,0.0,
ARI,,2.0,0,25,0.34791264,0.64,4.08,0.28,0.48,0.0,0.0,0.0,
ARI,,3.0,0,14,-0.21079265,0.5,1.5714285,0.21428572,0.5,0.0,0.0,0.0,
ARI,,4.0,0,1,,,,,,0.0,0.0,0.0,
ARI,,,0,2,,,,,,0.0,0.0,0.0,
ATL,Light (≤3),1.0,0,1,,,,,,0.0,0.0,0.0,
ATL,Light (≤3),3.0,0,2,,,,,,0.0,0.0,0.0,
ATL,Base (4),1.0,0,12,0.6321301,0.5,6.5,0.25,0.41666666,0.0,0.0,0.0,4.111111
ATL,Base (4),1.0,1,4,,,,,,1.0,0.0,4.0,
ATL,Base (4),2.0,0,18,-0.05575127,0.2777778,2.8333333,0.2777778,0.2777778,0.0,1.0,0.0,5.0
ATL,Base (4),2.0,1,2,,,,,,1.0,0.0,2.0,
ATL,Base (4),3.0,0,11,-0.6138726,0.27272728,4.0,0.09090909,0.27272728,0.0,1.0,0.0,3.0
ATL,Base (4),3.0,1,3,,,,,,1.0,0.0,2.0,
ATL,Base (4),4.0,1,1,,,,,,1.0,0.0,1.0,
ATL,Base (4),,0,3,,,,,,0.0,0.0,0.0,
ATL,Blitz (5),1.0,0,5,,,,,,0.0,0.0,0.0,
ATL,Blitz (5),1.0,1,1,,,,,,1.0,0.0,0.0,
ATL,Blitz (5),2.0,0,12,1.0586551,0.75,7.0833335,0.5833333,0.5833333,0.0,0.0,0.0,5.5
ATL,Blitz (5),2.0,1,3,,,,,,1.0,0.0,2.0,
ATL,Blitz (5),3.0,0,6,,,,,,0.0,0.0,0.0,
ATL,Blitz (5),3.0,1,4,,,,,,1.0,0.0,2.0,
ATL,Blitz (5),4.0,0,2,,,,,,0.0,0.0,0.0,
ATL,Heavy Blitz (6+),1.0,0,2,,,,,,0.0,0.0,0.0,
ATL,Heavy Blitz (6+),3.0,0,4,,,,,,0.0,0.0,0.0,
ATL,Heavy Blitz (6+),,0,2,,,,,,0.0,0.0,0.0,
ATL,,1.0,0,44,-0.11184571,0.3409091,2.1136363,0.11363637,0.1590909,0.0,0.0,0.0,
ATL,,2.0,0,18,-0.15967837,0.2777778,2.5555556,0.11111111,0.22222222,0.0,0.0,0.0,
ATL,,3.0,0,7,,,,,,0.0,0.0,0.0,
ATL,,4.0,0,7,,,,,,0.0,0.0,0.0,
BAL,Light (≤3),1.0,0,1,,,,,,0.0,0.0,0.0,
BAL,Light (≤3),2.0,0,2,,,,,,0.0,0.0,0.0,
BAL,Light (≤3),3.0,0,8,,,,,,0.0,1.0,0.0,
BAL,Light (≤3),3.0,1,2,,,,,,1.0,0.0,0.0,
BAL,Light (≤3),4.0,0,2,,,,,,0.0,0.0,0.0,
BAL,Light (≤3),4.0,1,1,,,,,,1.0,0.0,0.0,
BAL,Base (4),1.0,0,19,0.45747003,0.47368422,4.6842103,0.2631579,0.2631579,0.0,0.0,0.0,2.7272727
BAL,Base (4),2.0,0,26,-0.15510991,0.30769232,2.9230769,0.07692308,0.15384616,0.0,0.0,0.0,3.8461537
BAL,Base (4),2.0,1,4,,,,,,1.0,0.0,1.0,
BAL,Base (4),3.0,0,19,-0.6010972,0.31578946,3.9473684,0.15789473,0.31578946,0.0,1.0,0.0,3.3
BAL,Base (4),3.0,1,2,,,,,,1.0,0.0,1.0,
BAL,Base (4),4.0,0,3,,,,,,0.0,0.0,0.0,
BAL,Base (4),,0,3,,,,,,0.0,0.0,0.0,
BAL,Blitz (5),1.0,0,2,,,,,,0.0,0.0,0.0,
BAL,Blitz (5),2.0,0,2,,,,,,0.0,0.0,0.0,
BAL,Blitz (5),3.0,0,4,,,,,,0.0,0.0,0.0,
BAL,Blitz (5),4.0,0,2,,,,,,0.0,0.0,0.0,
BAL,Blitz (5),4.0,1,1,,,,,,1.0,0.0,1.0,
BAL,Blitz (5),,0,1,,,,,,0.0,0.0,0.0,
BAL,Heavy Blitz (6+),1.0,0,2,,,,,,0.0,0.0,0.0,
BAL,Heavy Blitz (6+),1.0,1,1,,,,,,1.0,0.0,0.0,
BAL,Heavy Blitz (6+),2.0,0,4,,,,,,0.0,0.0,0.0,
BAL,Heavy Blitz (6+),3.0,0,4,,,,,,0.0,0.0,0.0,
BAL,Heavy Blitz (6+),4.0,0,1,,,,,,0.0,0.0,0.0,
BAL,,1.0,0,38,-0.3649181,0.31578946,1.8157895,0.10526316,0.10526316,0.0,0.0,0.0,
BAL,,2.0,0,28,-0.44168863,0.25,1.9285715,0.10714286,0.25,0.0,0.0,0.0,
BAL,,3.0,0,11,-0.33843532,0.45454547,0.6363636,0.27272728,0.45454547,0.0,0.0,0.0,
BAL,,4.0,0,4,,,,,,0.0,0.0,0.0,
BUF,Light (≤3),2.0,0,1,,,,,,0.0,0.0,0.0,
BUF,Light (≤3),3.0,0,1,,,,,,0.0,0.0,0.0,
BUF,Light (≤3),3.0,1,1,,,,,,1.0,0.0,0.0,
BUF,Base (4),1.0,0,14,0.37048906,0.5714286,5.285714,0.21428572,0.2857143,0.0,0.0,0.0,3.3
BUF,Base (4),1.0,1,2,,,,,,1.0,0.0,0.0,
BUF,Base (4),2.0,0,20,0.23196764,0.45,3.45,0.2,0.3,0.0,0.0,0.0,1.75
BUF,Base (4),2.0,1,1,,,,,,1.0,0.0,0.0,
BUF,Base (4),3.0,0,14,-0.7809723,0.21428572,2.4285715,0.0,0.14285715,0.0,1.0,0.0,5.5
BUF,Base (4),3.0,1,3,,,,,,1.0,0.0,3.0,
BUF,Base (4),4.0,0,2,,,,,,0.0,0.0,0.0,
BUF,Base (4),,0,5,,,,,,0.0,0.0,0.0,
BUF,Blitz (5),1.0,0,2,,,,,,0.0,0.0,0.0,
BUF,Blitz (5),2.0,0,3,,,,,,0.0,0.0,0.0,
BUF,Heavy Blitz (6+),1.0,0,3,,,,,,0.0,0.0,0.0,
BUF,Heavy Blitz (6+),2.0,0,3,,,,,,0.0,0.0,0.0,
BUF,Heavy Blitz (6+),2.0,1,2,,,,,,1.0,0.0,0.0,
BUF,Heavy Blitz (6+),3.0,0,1,,,,,,0.0,0.0,0.0,
BUF,,1.0,0,41,-0.11781972,0.2682927,1.902439,0.14634146,0.19512194,0.0,0.0,0.0,
BUF,,2.0,0,20,0.27562997,0.65,3.6,0.2,0.55,0.0,0.0,0.0,
BUF,,3.0,0,13,0.70318437,0.84615386,3.3076923,0.15384616,0.84615386,0.0,0.0,0.0,
BUF,,4.0,0,2,,,,,,0.0,0.0,0.0,
BUF,,,0,1,,,,,,0.0,0.0,0.0,
CAR,Light (≤3),3.0,1,1,,,,,,1.0,0.0,1.0,
CAR,Base (4),1.0,0,9,,,,,,0.0,0.0,0.0,
CAR,Base (4),1.0,1,2,,,,,,1.0,0.0,0.0,
CAR,Base (4),2.0,0,13,0.012385909,0.30769232,3.8461537,0.15384616,0.30769232,0.0,0.0,0.0,2.8
CAR,Base (4),2.0,1,1,,,,,,1.0,0.0,1.0,
CAR,Base (4),3.0,0,21,0.509661,0.52380955,5.4761906,0.14285715,0.52380955,0.0,1.0,0.0,2.8333333
CAR,Base (4),3.0,1,3,,,,,,1.0,1.0,2.0,
CAR,Base (4),4.0,1,1,,,,,,1.0,0.0,0.0,
CAR,Blitz (5),1.0,0,6,,,,,,0.0,0.0,0.0,
CAR,Blitz (5),2.0,0,9,,,,,,0.0,1.0,0.0,
CAR,Blitz (5),2.0,1,2,,,,,,1.0,0.0,1.0,
CAR,Blitz (5),3.0,0,1,,,,,,0.0,0.0,0.0,
CAR,Heavy Blitz (6+),1.0,0,3,,,,,,0.0,0.0,0.0,
CAR,Heavy Blitz (6+),2.0,0,2,,,,,,0.0,0.0,0.0,
CAR,Heavy Blitz (6+),3.0,0,1,,,,,,0.0,0.0,0.0,
CAR,Heavy Blitz (6+),4.0,0,1,,,,,,0.0,0.0,0.0,
CAR,,1.0,0,48,-0.16514622,0.33333334,2.3541667,0.16666667,0.16666667,0.0,0.0,0.0,
CAR,,2.0,0,27,-0.042355467,0.37037036,2.8148148,0.14814815,0.33333334,0.0,0.0,0.0,
CAR,,3.0,0,11,0.51879776,0.6363636,0.72727275,0.45454547,0.6363636,0.0,0.0,0.0,
CAR,,4.0,0,1,,,,,,0.0,0.0,0.0,
CHI,Light (≤3),1.0,1,1,,,,,,1.0,0.0,0.0,
CHI,Light (≤3),4.0,0,2,,,,,,0.0,1.0,0.0,
CHI,Light (≤3),,0,1,,,,,,0.0,0.0,0.0,
CHI,Base (4),1.0,0,17,0.41177616,0.5882353,4.352941,0.29411766,0.29411766,0.0,0.0,0.0,4.25
CHI,Base (4),1.0,1,2,,,,,,1.0,0.0,0.0,
CHI,Base (4),2.0,0,18,0.072441466,0.44444445,3.3333333,0.2777778,0.3888889,0.0,1.0,0.0,3.5384614
CHI,Base (4),2.0,1,2,,,,,,1.0,0.0,0.0,
CHI,Base (4),3.0,0,20,-0.30470905,0.2,2.35,0.2,0.2,0.0,1.0,0.0,0.6666667
CHI,Base (4),3.0,1,2,,,,,,1.0,0.0,2.0,
CHI,Base (4),4.0,1,1,,,,,,1.0,0.0,1.0,
CHI,Base (4),,0,2,,,,,,0.0,0.0,0.0,
CHI,Blitz (5),1.0,0,3,,,,,,0.0,0.0,0.0,
CHI,Blitz (5),2.0,0,4,,,,,,0.0,0.0,0.0,
CHI,Blitz (5),3.0,0,1,,,,,,0.0,0.0,0.0,
CHI,Blitz (5),4.0,0,1,,,,,,0.0,0.0,0.0,
